Name,Number of Reviews,Search Ranking,Best Seller
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black  (2 YRs WRTY)",4.1 out of 5(216),"Page 1, Rank 1",No
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)",4.4 out of 5(133),"Page 1, Rank 2",No
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black",4.3 out of 5(245),"Page 1, Rank 3",No
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)",4.1 out of 5(149),"Page 1, Rank 4",No
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black (1YR WRTY)",4.5 out of 5(27),"Page 1, Rank 5",No
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black",4.2 out of 5(418),"Page 1, Rank 6",No
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Black + Smart Watch & Buds",3.9 out of 5(115),"Page 1, Rank 7",No
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Timber Black",4 out of 5(10),"Page 1, Rank 8",No
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts",4 out of 5(145),"Page 1, Rank 9",No
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold",4.2 out of 5(109),"Page 1, Rank 10",No
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White",4.1 out of 5(196),"Page 1, Rank 11",No
"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black",4.1 out of 5(49),"Page 1, Rank 12",No
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold",4.6 out of 5(9),"Page 1, Rank 13",No
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)",4.3 out of 5(233),"Page 1, Rank 14",No
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black",4.6 out of 5(26),"Page 1, Rank 15",No
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange",4.3 out of 5(11),"Page 1, Rank 16",No
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black",4.5 out of 5(38),"Page 1, Rank 17",No
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black  (2 YRs WRTY)",4.8 out of 5(16),"Page 1, Rank 18",No
