Name,Price,Old Price,Discount,Rating
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black (1YR WRTY)","KSh 8,999","KSh 11,000",18%,4.1 out of 5
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black","KSh 12,925","KSh 15,000",14%,4.4 out of 5
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 8,940","KSh 10,000",11%,4.3 out of 5
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 8,940","KSh 10,000",11%,4.1 out of 5
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black (1YR WRTY)","KSh 12,930","KSh 14,000",8%,4.6 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 17,445","KSh 29,999",42%,4.2 out of 5
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Black + Smart Watch & Buds","KSh 13,899","KSh 22,999",40%,3.9 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Timber Black","KSh 8,499","KSh 10,000",15%,3.9 out of 5
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts","KSh 16,899","KSh 29,999",44%,4 out of 5
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold","KSh 8,940","KSh 10,000",11%,4.2 out of 5
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,399","KSh 25,999",45%,4.1 out of 5
"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black","KSh 14,999","KSh 15,999",6%,4.1 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold","KSh 8,499","KSh 10,000",15%,4.6 out of 5
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 17,445","KSh 29,999",42%,4.3 out of 5
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black","KSh 13,599","KSh 13,999",3%,4.6 out of 5
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 12,080","KSh 13,000",7%,4.1 out of 5
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 13,999","KSh 23,000",39%,4.2 out of 5
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black","KSh 22,300","KSh 35,000",36%,4.5 out of 5
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (1YR WRTY)","KSh 13,699","KSh 15,000",9%,4.8 out of 5
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Black","KSh 14,800","KSh 22,999",36%,4.3 out of 5
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7","KSh 9,999","KSh 20,000",50%,4.5 out of 5
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh AIR 10","KSh 16,750","KSh 30,000",44%,4.5 out of 5
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998","KSh 19,888",45%,4.5 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green","KSh 8,499","KSh 10,000",15%,4.8 out of 5
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,990","KSh 12,000",33%,4 out of 5
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 12,080","KSh 14,000",14%,4.3 out of 5
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,870","KSh 25,000",45%,4.2 out of 5
"Infinix HOT 40i,5000mah,(4GB RAM+128GB ROM) 50MP,TYPE-C,+BUDS WATCH","KSh 13,299","KSh 20,000",34%,4.1 out of 5
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black (2YRS WRTY)","KSh 23,450","KSh 30,000",22%,4.1 out of 5
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black","KSh 18,619","KSh 24,999",26%,4.4 out of 5
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts","KSh 11,499","KSh 19,999",43%,4.5 out of 5
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green","KSh 5,599","KSh 7,000",20%,3.7 out of 5
"Samsung Galaxy A15, 6.5'' Display, 6GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue + Smart watch & Power bank","KSh 19,799","KSh 29,999",34%,4 out of 5
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545","KSh 23,999",48%,4.1 out of 5
"Tecno POP 8, 6.6"", 64GB +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 9,999","KSh 12,000",17%,5 out of 5
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Silver","KSh 14,850","KSh 22,999",35%,4.4 out of 5
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White","KSh 9,999","KSh 12,000",17%,
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue (1YR WRTY)","KSh 13,999","KSh 23,000",39%,4.8 out of 5
